392230071;00020111;456
392230071;00385002;123456
392230071;00422164;123
392230071;00020111;456
392230071;00422164;123
392230071;00422164;123
392230071;00020111;456
49969639;00404601;123456
279472551;00404601;123456
392230071;00422164;123
392230071;00020111;456
392230071;00422164;123
392230071;90002004;123456
118967432;90002004;123456
392230071;90002004;123456
392230071;00422164;123
392230071;00020111;456
392230071;00020111;456
392230071;00385002;123456
392230071;00385002;123456
392230071;00422164;123
392230071;00020111;456
392230071;90002004;123456
118967432;00422164;123
392230071;00020111;456
392230071;00422164;123
392230071;90002004;123456
392230071;00422164;123
392230071;00020111;456
392230071;90002004;123456
392230071;00020111;456
392230071;00020111;456
392230071;00422164;123
